Assembly instruction,Category,
FEMMS,MMX,
PAVGUSB,3DNOW,
PF2ID,3DNOW,
PF2IW,3DNOW,
PFACC,3DNOW,
PFADD,3DNOW,
PFCMPEQ,3DNOW,
PFCMPGE,3DNOW,
PFCMPGT,3DNOW,
PFMAX,3DNOW,
PFMIN,3DNOW,
PFMUL,3DNOW,
PFNACC,3DNOW,
PFPNACC,3DNOW,
PFRCP,3DNOW,
PFRCPIT1,3DNOW,
PFRCPIT2,3DNOW,
PFRSQIT1,3DNOW,
PFRSQRT,3DNOW,
PFSUB,3DNOW,
PFSUBR,3DNOW,
PI2FD,3DNOW,
PI2FW,3DNOW,
PMULHRW,3DNOW,
PSWAPD,3DNOW,
PREFETCHW,PREFETCH,
PREFETCH,PREFETCH,
ADCX,ADOX_ADCX,
ADOX,ADOX_ADCX,
AESDEC,AES,
AESDECLAST,AES,
AESENC,AES,
AESENCLAST,AES,
AESIMC,AES,
AESKEYGENASSIST,AES,
INVLPGB,SYSTEM,
TLBSYNC,SYSTEM,
TDPBF16PS,AMX_TILE,
TDPBSSD,AMX_TILE,
TDPBSUD,AMX_TILE,
TDPBUSD,AMX_TILE,
TDPBUUD,AMX_TILE,
LDTILECFG,AMX_TILE,
STTILECFG,AMX_TILE,
TILELOADD,AMX_TILE,
TILELOADDT1,AMX_TILE,
TILERELEASE,AMX_TILE,
TILESTORED,AMX_TILE,
TILEZERO,AMX_TILE,
VADDPD,AVX,
VADDPS,AVX,
VADDSD,AVX,
VADDSS,AVX,
VADDSUBPD,AVX,
VADDSUBPS,AVX,
VANDNPD,LOGICAL_FP,
VANDNPS,LOGICAL_FP,
VANDPD,LOGICAL_FP,
VANDPS,LOGICAL_FP,
VBLENDPD,AVX,
VBLENDPS,AVX,
VBLENDVPD,AVX,
VBLENDVPS,AVX,
VBROADCASTF128,BROADCAST,
VBROADCASTSD,BROADCAST,
VBROADCASTSS,BROADCAST,
VCMPPD,AVX,
VCMPPS,AVX,
VCMPSD,AVX,
VCMPSS,AVX,
VCOMISD,AVX,
VCOMISS,AVX,
VCVTDQ2PD,CONVERT,
VCVTDQ2PS,CONVERT,
VCVTPD2DQ,CONVERT,
VCVTPD2PS,CONVERT,
VCVTPS2DQ,CONVERT,
VCVTPS2PD,CONVERT,
VCVTSD2SI,CONVERT,
VCVTSD2SS,CONVERT,
VCVTSI2SD,CONVERT,
VCVTSI2SS,CONVERT,
VCVTSS2SD,CONVERT,
VCVTSS2SI,CONVERT,
VCVTTPD2DQ,CONVERT,
VCVTTPS2DQ,CONVERT,
VCVTTSD2SI,CONVERT,
VCVTTSS2SI,CONVERT,
VDIVPD,AVX,
VDIVPS,AVX,
VDIVSD,AVX,
VDIVSS,AVX,
VDPPD,AVX,
VDPPS,AVX,
VEXTRACTF128,AVX,
VEXTRACTPS,AVX,
VHADDPD,AVX,
VHADDPS,AVX,
VHSUBPD,AVX,
VHSUBPS,AVX,
VINSERTF128,AVX,
VINSERTPS,AVX,
VLDDQU,AVX,
VLDMXCSR,AVX,
VMASKMOVDQU,AVX,
VMASKMOVPD,AVX,
VMASKMOVPS,AVX,
VMAXPD,AVX,
VMAXPS,AVX,
VMAXSD,AVX,
VMAXSS,AVX,
VMINPD,AVX,
VMINPS,AVX,
VMINSD,AVX,
VMINSS,AVX,
VMOVAPD,DATAXFER,
VMOVAPD {load},DATAXFER,
VMOVAPD {store},DATAXFER,
VMOVAPS,DATAXFER,
VMOVAPS {load},DATAXFER,
VMOVAPS {store},DATAXFER,
VMOVD,DATAXFER,
VMOVDDUP,DATAXFER,
VMOVDQA,DATAXFER,
VMOVDQA {load},DATAXFER,
VMOVDQA {store},DATAXFER,
VMOVDQU,DATAXFER,
VMOVDQU {load},DATAXFER,
VMOVDQU {store},DATAXFER,
VMOVHLPS,DATAXFER,
VMOVHPD,DATAXFER,
VMOVHPS,DATAXFER,
VMOVLHPS,DATAXFER,
VMOVLPD,DATAXFER,
VMOVLPS,DATAXFER,
VMOVMSKPD,DATAXFER,
VMOVMSKPS,DATAXFER,
VMOVNTDQ,DATAXFER,
VMOVNTDQA,DATAXFER,
VMOVNTPD,DATAXFER,
VMOVNTPS,DATAXFER,
VMOVQ,DATAXFER,
VMOVQ {load},DATAXFER,
VMOVQ {store},DATAXFER,
VMOVSD,DATAXFER,
VMOVSD {load},DATAXFER,
VMOVSD {store},DATAXFER,
VMOVSHDUP,DATAXFER,
VMOVSLDUP,DATAXFER,
VMOVSS,DATAXFER,
VMOVSS {load},DATAXFER,
VMOVSS {store},DATAXFER,
VMOVUPD,DATAXFER,
VMOVUPD {load},DATAXFER,
VMOVUPD {store},DATAXFER,
VMOVUPS,DATAXFER,
VMOVUPS {load},DATAXFER,
VMOVUPS {store},DATAXFER,
VMPSADBW,AVX,
VMULPD,AVX,
VMULPS,AVX,
VMULSD,AVX,
VMULSS,AVX,
VORPD,LOGICAL_FP,
VORPS,LOGICAL_FP,
VPABSB,AVX,
VPABSD,AVX,
VPABSW,AVX,
VPACKSSDW,AVX,
VPACKSSWB,AVX,
VPACKUSDW,AVX,
VPACKUSWB,AVX,
VPADDB,AVX,
VPADDD,AVX,
VPADDQ,AVX,
VPADDSB,AVX,
VPADDSW,AVX,
VPADDUSB,AVX,
VPADDUSW,AVX,
VPADDW,AVX,
VPALIGNR,AVX,
VPAND,LOGICAL,
VPANDN,LOGICAL,
VPAVGB,AVX,
VPAVGW,AVX,
VPBLENDVB,AVX,
VPBLENDW,AVX,
VPCLMULQDQ,AVX,
VPCMPEQB,AVX,
VPCMPEQD,AVX,
VPCMPEQQ,AVX,
VPCMPEQW,AVX,
VPCMPESTRI,STTNI,
VPCMPESTRIQ,STTNI,
VPCMPESTRM,STTNI,
VPCMPESTRMQ,STTNI,
VPCMPGTB,AVX,
VPCMPGTD,AVX,
VPCMPGTQ,AVX,
VPCMPGTW,AVX,
VPCMPISTRI,STTNI,
VPCMPISTRM,STTNI,
VPERM2F128,AVX,
VPERMILPD,AVX,
VPERMILPS,AVX,
VPEXTRB,AVX,
VPEXTRD,AVX,
VPEXTRQ,AVX,
VPEXTRW,AVX,
VPHADDD,AVX,
VPHADDSW,AVX,
VPHADDW,AVX,
VPHMINPOSUW,AVX,
VPHSUBD,AVX,
VPHSUBSW,AVX,
VPHSUBW,AVX,
VPINSRB,AVX,
VPINSRD,AVX,
VPINSRQ,AVX,
VPINSRW,AVX,
VPMADDUBSW,AVX,
VPMADDWD,AVX,
VPMAXSB,AVX,
VPMAXSD,AVX,
VPMAXSW,AVX,
VPMAXUB,AVX,
VPMAXUD,AVX,
VPMAXUW,AVX,
VPMINSB,AVX,
VPMINSD,AVX,
VPMINSW,AVX,
VPMINUB,AVX,
VPMINUD,AVX,
VPMINUW,AVX,
VPMOVMSKB,AVX,
VPMOVSXBD,AVX,
VPMOVSXBQ,AVX,
VPMOVSXBW,AVX,
VPMOVSXDQ,AVX,
VPMOVSXWD,AVX,
VPMOVSXWQ,AVX,
VPMOVZXBD,AVX,
VPMOVZXBQ,AVX,
VPMOVZXBW,AVX,
VPMOVZXDQ,AVX,
VPMOVZXWD,AVX,
VPMOVZXWQ,AVX,
VPMULDQ,AVX,
VPMULHRSW,AVX,
VPMULHUW,AVX,
VPMULHW,AVX,
VPMULLD,AVX,
VPMULLW,AVX,
VPMULUDQ,AVX,
VPOR,LOGICAL,
VPSADBW,AVX,
VPSHUFB,AVX,
VPSHUFD,AVX,
VPSHUFHW,AVX,
VPSHUFLW,AVX,
VPSIGNB,AVX,
VPSIGND,AVX,
VPSIGNW,AVX,
VPSLLD,AVX,
VPSLLDQ,AVX,
VPSLLQ,AVX,
VPSLLW,AVX,
VPSRAD,AVX,
VPSRAW,AVX,
VPSRLD,AVX,
VPSRLDQ,AVX,
VPSRLQ,AVX,
VPSRLW,AVX,
VPSUBB,AVX,
VPSUBD,AVX,
VPSUBQ,AVX,
VPSUBSB,AVX,
VPSUBSW,AVX,
VPSUBUSB,AVX,
VPSUBUSW,AVX,
VPSUBW,AVX,
VPTEST,LOGICAL,
VPUNPCKHBW,AVX,
VPUNPCKHDQ,AVX,
VPUNPCKHQDQ,AVX,
VPUNPCKHWD,AVX,
VPUNPCKLBW,AVX,
VPUNPCKLDQ,AVX,
VPUNPCKLQDQ,AVX,
VPUNPCKLWD,AVX,
VPXOR,LOGICAL,
VRCPPS,AVX,
VRCPSS,AVX,
VROUNDPD,AVX,
VROUNDPS,AVX,
VROUNDSD,AVX,
VROUNDSS,AVX,
VRSQRTPS,AVX,
VRSQRTSS,AVX,
VSHUFPD,AVX,
VSHUFPS,AVX,
VSQRTPD,AVX,
VSQRTPS,AVX,
VSQRTSD,AVX,
VSQRTSS,AVX,
VSTMXCSR,AVX,
VSUBPD,AVX,
VSUBPS,AVX,
VSUBSD,AVX,
VSUBSS,AVX,
VTESTPD,LOGICAL_FP,
VTESTPS,LOGICAL_FP,
VUCOMISD,AVX,
VUCOMISS,AVX,
VUNPCKHPD,AVX,
VUNPCKHPS,AVX,
VUNPCKLPD,AVX,
VUNPCKLPS,AVX,
VXORPD,LOGICAL_FP,
VXORPS,LOGICAL_FP,
VZEROALL,AVX,
VZEROUPPER,AVX,
VBROADCASTI128,BROADCAST,
VEXTRACTI128,AVX2,
VINSERTI128,AVX2,
VMPSADBW,AVX2,
VPABSB,AVX2,
VPABSD,AVX2,
VPABSW,AVX2,
VPACKSSDW,AVX2,
VPACKSSWB,AVX2,
VPACKUSDW,AVX2,
VPACKUSWB,AVX2,
VPADDB,AVX2,
VPADDD,AVX2,
VPADDQ,AVX2,
VPADDSB,AVX2,
VPADDSW,AVX2,
VPADDUSB,AVX2,
VPADDUSW,AVX2,
VPADDW,AVX2,
VPALIGNR,AVX2,
VPAVGB,AVX2,
VPAVGW,AVX2,
VPBLENDD,AVX2,
VPBLENDVB,AVX2,
VPBLENDW,AVX2,
VPBROADCASTB,BROADCAST,
VPBROADCASTD,BROADCAST,
VPBROADCASTQ,BROADCAST,
VPBROADCASTW,BROADCAST,
VPCMPEQB,AVX2,
VPCMPEQD,AVX2,
VPCMPEQQ,AVX2,
VPCMPEQW,AVX2,
VPCMPGTB,AVX2,
VPCMPGTD,AVX2,
VPCMPGTQ,AVX2,
VPCMPGTW,AVX2,
VPERM2I128,AVX2,
VPERMD,AVX2,
VPERMPD,AVX2,
VPERMPS,AVX2,
VPERMQ,AVX2,
VPHADDD,AVX2,
VPHADDSW,AVX2,
VPHADDW,AVX2,
VPHSUBD,AVX2,
VPHSUBSW,AVX2,
VPHSUBW,AVX2,
VPMADDUBSW,AVX2,
VPMADDWD,AVX2,
VPMASKMOVD,AVX2,
VPMASKMOVQ,AVX2,
VPMAXSB,AVX2,
VPMAXSD,AVX2,
VPMAXSW,AVX2,
VPMAXUB,AVX2,
VPMAXUD,AVX2,
VPMAXUW,AVX2,
VPMINSB,AVX2,
VPMINSD,AVX2,
VPMINSW,AVX2,
VPMINUB,AVX2,
VPMINUD,AVX2,
VPMINUW,AVX2,
VPMOVMSKB,AVX2,
VPMOVSXBD,AVX2,
VPMOVSXBQ,AVX2,
VPMOVSXBW,AVX2,
VPMOVSXDQ,AVX2,
VPMOVSXWD,AVX2,
VPMOVSXWQ,AVX2,
VPMOVZXBD,AVX2,
VPMOVZXBQ,AVX2,
VPMOVZXBW,AVX2,
VPMOVZXDQ,AVX2,
VPMOVZXWD,AVX2,
VPMOVZXWQ,AVX2,
VPMULDQ,AVX2,
VPMULHRSW,AVX2,
VPMULHUW,AVX2,
VPMULHW,AVX2,
VPMULLD,AVX2,
VPMULLW,AVX2,
VPMULUDQ,AVX2,
VPSADBW,AVX2,
VPSHUFB,AVX2,
VPSHUFD,AVX2,
VPSHUFHW,AVX2,
VPSHUFLW,AVX2,
VPSIGNB,AVX2,
VPSIGND,AVX2,
VPSIGNW,AVX2,
VPSLLD,AVX2,
VPSLLDQ,AVX2,
VPSLLQ,AVX2,
VPSLLVD,AVX2,
VPSLLVQ,AVX2,
VPSLLW,AVX2,
VPSRAD,AVX2,
VPSRAVD,AVX2,
VPSRAW,AVX2,
VPSRLD,AVX2,
VPSRLDQ,AVX2,
VPSRLQ,AVX2,
VPSRLVD,AVX2,
VPSRLVQ,AVX2,
VPSRLW,AVX2,
VPSUBB,AVX2,
VPSUBD,AVX2,
VPSUBQ,AVX2,
VPSUBSB,AVX2,
VPSUBSW,AVX2,
VPSUBUSB,AVX2,
VPSUBUSW,AVX2,
VPSUBW,AVX2,
VPUNPCKHBW,AVX2,
VPUNPCKHDQ,AVX2,
VPUNPCKHQDQ,AVX2,
VPUNPCKHWD,AVX2,
VPUNPCKLBW,AVX2,
VPUNPCKLDQ,AVX2,
VPUNPCKLQDQ,AVX2,
VPUNPCKLWD,AVX2,
VGATHERDPD,AVX2GATHER,
VGATHERDPS,AVX2GATHER,
VGATHERQPD,AVX2GATHER,
VGATHERQPS,AVX2GATHER,
VPGATHERDD,AVX2GATHER,
VPGATHERDQ,AVX2GATHER,
VPGATHERQD,AVX2GATHER,
VPGATHERQQ,AVX2GATHER,
V4FMADDPS,AVX512_4FMAPS,
V4FMADDSS,AVX512_4FMAPS,
V4FNMADDPS,AVX512_4FMAPS,
V4FNMADDSS,AVX512_4FMAPS,
VADDPD,AVX512,
VADDPD {evex},AVX512,
VADDPH,FP16,
VADDPS,AVX512,
VADDPS {evex},AVX512,
VADDSD {evex},AVX512,
VADDSD,AVX512,
VADDSH,FP16,
VADDSS {evex},AVX512,
VADDSS,AVX512,
VAESDEC {evex},VAES,
VAESDEC,VAES,
VAESDECLAST {evex},VAES,
VAESDECLAST,VAES,
VAESENC {evex},VAES,
VAESENC,VAES,
VAESENCLAST {evex},VAES,
VAESENCLAST,VAES,
VALIGND,AVX512,
VALIGNQ,AVX512,
VANDNPD {evex},LOGICAL_FP,
VANDNPS {evex},LOGICAL_FP,
VANDPD {evex},LOGICAL_FP,
VANDPS {evex},LOGICAL_FP,
VBLENDMPD,BLEND,
VBLENDMPS,BLEND,
VBROADCASTF32X2,BROADCAST,
VBROADCASTF32X4,BROADCAST,
VBROADCASTF32X8,BROADCAST,
VBROADCASTF64X2,BROADCAST,
VBROADCASTF64X4,BROADCAST,
VBROADCASTI32X2,BROADCAST,
VBROADCASTI32X4,BROADCAST,
VBROADCASTI32X8,BROADCAST,
VBROADCASTI64X2,BROADCAST,
VBROADCASTI64X4,BROADCAST,
VBROADCASTSD {evex},BROADCAST,
VBROADCASTSS {evex},BROADCAST,
VCMPPD,AVX512,
VCMPPD {evex},AVX512,
VCMPPH,FP16,
VCMPPS,AVX512,
VCMPPS {evex},AVX512,
VCMPSD {evex},AVX512,
VCMPSD,AVX512,
VCMPSH,FP16,
VCMPSS {evex},AVX512,
VCMPSS,AVX512,
VCOMISD {evex},AVX512,
VCOMISH,FP16,
VCOMISS {evex},AVX512,
VCOMPRESSPD,COMPRESS,
VCOMPRESSPS,COMPRESS,
VCVTDQ2PD {evex},CONVERT,
VCVTDQ2PH,CONVERT,
VCVTDQ2PS {evex},CONVERT,
VCVTNE2PS2BF16,CONVERT,
VCVTNEPS2BF16,CONVERT,
VCVTPD2DQ {evex},CONVERT,
VCVTPD2PH,CONVERT,
VCVTPD2PS {evex},CONVERT,
VCVTPD2QQ,CONVERT,
VCVTPD2UDQ,CONVERT,
VCVTPD2UQQ,CONVERT,
VCVTPH2DQ,CONVERT,
VCVTPH2PD,CONVERT,
VCVTPH2PS,CONVERT,
VCVTPH2PS {evex},CONVERT,
VCVTPH2PSX,CONVERT,
VCVTPH2QQ,CONVERT,
VCVTPH2UDQ,CONVERT,
VCVTPH2UQQ,CONVERT,
VCVTPH2UW,CONVERT,
VCVTPH2W,CONVERT,
VCVTPS2DQ {evex},CONVERT,
VCVTPS2PD {evex},CONVERT,
VCVTPS2PH,CONVERT,
VCVTPS2PH {evex},CONVERT,
VCVTPS2PHX,CONVERT,
VCVTPS2QQ,CONVERT,
VCVTPS2UDQ,CONVERT,
VCVTPS2UQQ,CONVERT,
VCVTQQ2PD,CONVERT,
VCVTQQ2PH,CONVERT,
VCVTQQ2PS,CONVERT,
VCVTSD2SH,CONVERT,
VCVTSD2SI {evex},CONVERT,
VCVTSD2SS {evex},CONVERT,
VCVTSD2USI,CONVERT,
VCVTSH2SD,CONVERT,
VCVTSH2SI,CONVERT,
VCVTSH2SS,CONVERT,
VCVTSH2USI,CONVERT,
VCVTSI2SD {evex},CONVERT,
VCVTSI2SH,CONVERT,
VCVTSI2SS {evex},CONVERT,
VCVTSS2SD {evex},CONVERT,
VCVTSS2SH,CONVERT,
VCVTSS2SI {evex},CONVERT,
VCVTSS2USI,CONVERT,
VCVTTPD2DQ {evex},CONVERT,
VCVTTPD2QQ,CONVERT,
VCVTTPD2UDQ,CONVERT,
VCVTTPD2UQQ,CONVERT,
VCVTTPH2DQ,CONVERT,
VCVTTPH2QQ,CONVERT,
VCVTTPH2UDQ,CONVERT,
VCVTTPH2UQQ,CONVERT,
VCVTTPH2UW,CONVERT,
VCVTTPH2W,CONVERT,
VCVTTPS2DQ {evex},CONVERT,
VCVTTPS2QQ,CONVERT,
VCVTTPS2UDQ,CONVERT,
VCVTTPS2UQQ,CONVERT,
VCVTTSD2SI {evex},CONVERT,
VCVTTSD2USI,CONVERT,
VCVTTSH2SI,CONVERT,
VCVTTSH2USI,CONVERT,
VCVTTSS2SI {evex},CONVERT,
VCVTTSS2USI,CONVERT,
VCVTUDQ2PD,CONVERT,
VCVTUDQ2PH,CONVERT,
VCVTUDQ2PS,CONVERT,
VCVTUQQ2PD,CONVERT,
VCVTUQQ2PH,CONVERT,
VCVTUQQ2PS,CONVERT,
VCVTUSI2SD,CONVERT,
VCVTUSI2SH,CONVERT,
VCVTUSI2SS,CONVERT,
VCVTUW2PH,CONVERT,
VCVTW2PH,CONVERT,
VDBPSADBW,AVX512,
VDIVPD,AVX512,
VDIVPD {evex},AVX512,
VDIVPH,FP16,
VDIVPS,AVX512,
VDIVPS {evex},AVX512,
VDIVSD {evex},AVX512,
VDIVSD,AVX512,
VDIVSH,FP16,
VDIVSS {evex},AVX512,
VDIVSS,AVX512,
VDPBF16PS,AVX512,
VEXP2PD,AVX512,
VEXP2PS,AVX512,
VEXPANDPD,EXPAND,
VEXPANDPS,EXPAND,
VEXTRACTF32X4,AVX512,
VEXTRACTF32X8,AVX512,
VEXTRACTF64X2,AVX512,
VEXTRACTF64X4,AVX512,
VEXTRACTI32X4,AVX512,
VEXTRACTI32X8,AVX512,
VEXTRACTI64X2,AVX512,
VEXTRACTI64X4,AVX512,
VEXTRACTPS {evex},AVX512,
VFCMADDCPH,FP16,
VFCMADDCSH,FP16,
VFCMULCPH,FP16,
VFCMULCSH,FP16,
VFIXUPIMMPD,AVX512,
VFIXUPIMMPS,AVX512,
VFIXUPIMMSD,AVX512,
VFIXUPIMMSS,AVX512,
VFMADD132PD,VFMA,
VFMADD132PD {evex},VFMA,
VFMADD132PH,FP16,
VFMADD132PS,VFMA,
VFMADD132PS {evex},VFMA,
VFMADD132SD {evex},VFMA,
VFMADD132SD,VFMA,
VFMADD132SH,FP16,
VFMADD132SS {evex},VFMA,
VFMADD132SS,VFMA,
VFMADD213PD,VFMA,
VFMADD213PD {evex},VFMA,
VFMADD213PH,FP16,
VFMADD213PS,VFMA,
VFMADD213PS {evex},VFMA,
VFMADD213SD {evex},VFMA,
VFMADD213SD,VFMA,
VFMADD213SH,FP16,
VFMADD213SS {evex},VFMA,
VFMADD213SS,VFMA,
VFMADD231PD,VFMA,
VFMADD231PD {evex},VFMA,
VFMADD231PH,FP16,
VFMADD231PS,VFMA,
VFMADD231PS {evex},VFMA,
VFMADD231SD {evex},VFMA,
VFMADD231SD,VFMA,
VFMADD231SH,FP16,
VFMADD231SS {evex},VFMA,
VFMADD231SS,VFMA,
VFMADDCPH,FP16,
VFMADDCSH,FP16,
VFMADDSUB132PD,VFMA,
VFMADDSUB132PD {evex},VFMA,
VFMADDSUB132PH,FP16,
VFMADDSUB132PS,VFMA,
VFMADDSUB132PS {evex},VFMA,
VFMADDSUB213PD,VFMA,
VFMADDSUB213PD {evex},VFMA,
VFMADDSUB213PH,FP16,
VFMADDSUB213PS,VFMA,
VFMADDSUB213PS {evex},VFMA,
VFMADDSUB231PD,VFMA,
VFMADDSUB231PD {evex},VFMA,
VFMADDSUB231PH,FP16,
VFMADDSUB231PS,VFMA,
VFMADDSUB231PS {evex},VFMA,
VFMSUB132PD,VFMA,
VFMSUB132PD {evex},VFMA,
VFMSUB132PH,FP16,
VFMSUB132PS,VFMA,
VFMSUB132PS {evex},VFMA,
VFMSUB132SD {evex},VFMA,
VFMSUB132SD,VFMA,
VFMSUB132SH,FP16,
VFMSUB132SS {evex},VFMA,
VFMSUB132SS,VFMA,
VFMSUB213PD,VFMA,
VFMSUB213PD {evex},VFMA,
VFMSUB213PH,FP16,
VFMSUB213PS,VFMA,
VFMSUB213PS {evex},VFMA,
VFMSUB213SD {evex},VFMA,
VFMSUB213SD,VFMA,
VFMSUB213SH,FP16,
VFMSUB213SS {evex},VFMA,
VFMSUB213SS,VFMA,
VFMSUB231PD,VFMA,
VFMSUB231PD {evex},VFMA,
VFMSUB231PH,FP16,
VFMSUB231PS,VFMA,
VFMSUB231PS {evex},VFMA,
VFMSUB231SD {evex},VFMA,
VFMSUB231SD,VFMA,
VFMSUB231SH,FP16,
VFMSUB231SS {evex},VFMA,
VFMSUB231SS,VFMA,
VFMSUBADD132PD,VFMA,
VFMSUBADD132PD {evex},VFMA,
VFMSUBADD132PH,FP16,
VFMSUBADD132PS,VFMA,
VFMSUBADD132PS {evex},VFMA,
VFMSUBADD213PD,VFMA,
VFMSUBADD213PD {evex},VFMA,
VFMSUBADD213PH,FP16,
VFMSUBADD213PS,VFMA,
VFMSUBADD213PS {evex},VFMA,
VFMSUBADD231PD,VFMA,
VFMSUBADD231PD {evex},VFMA,
VFMSUBADD231PH,FP16,
VFMSUBADD231PS,VFMA,
VFMSUBADD231PS {evex},VFMA,
VFMULCPH,FP16,
VFMULCSH,FP16,
VFNMADD132PD,VFMA,
VFNMADD132PD {evex},VFMA,
VFNMADD132PH,FP16,
VFNMADD132PS,VFMA,
VFNMADD132PS {evex},VFMA,
VFNMADD132SD {evex},VFMA,
VFNMADD132SD,VFMA,
VFNMADD132SH,FP16,
VFNMADD132SS {evex},VFMA,
VFNMADD132SS,VFMA,
VFNMADD213PD,VFMA,
VFNMADD213PD {evex},VFMA,
VFNMADD213PH,FP16,
VFNMADD213PS,VFMA,
VFNMADD213PS {evex},VFMA,
VFNMADD213SD {evex},VFMA,
VFNMADD213SD,VFMA,
VFNMADD213SH,FP16,
VFNMADD213SS {evex},VFMA,
VFNMADD213SS,VFMA,
VFNMADD231PD,VFMA,
VFNMADD231PD {evex},VFMA,
VFNMADD231PH,FP16,
VFNMADD231PS,VFMA,
VFNMADD231PS {evex},VFMA,
VFNMADD231SD {evex},VFMA,
VFNMADD231SD,VFMA,
VFNMADD231SH,FP16,
VFNMADD231SS {evex},VFMA,
VFNMADD231SS,VFMA,
VFNMSUB132PD,VFMA,
VFNMSUB132PD {evex},VFMA,
VFNMSUB132PH,FP16,
VFNMSUB132PS,VFMA,
VFNMSUB132PS {evex},VFMA,
VFNMSUB132SD {evex},VFMA,
VFNMSUB132SD,VFMA,
VFNMSUB132SH,FP16,
VFNMSUB132SS {evex},VFMA,
VFNMSUB132SS,VFMA,
VFNMSUB213PD,VFMA,
VFNMSUB213PD {evex},VFMA,
VFNMSUB213PH,FP16,
VFNMSUB213PS,VFMA,
VFNMSUB213PS {evex},VFMA,
VFNMSUB213SD {evex},VFMA,
VFNMSUB213SD,VFMA,
VFNMSUB213SH,FP16,
VFNMSUB213SS {evex},VFMA,
VFNMSUB213SS,VFMA,
VFNMSUB231PD,VFMA,
VFNMSUB231PD {evex},VFMA,
